timestamp,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6
58871,-3.258691406,-5.433544922,-7.629931641,1.25,0.243902439,-1.18902439
58872,-3.258691406,-5.428759766,-7.598828125,1.25,0,-1.18902439
58873,-3.261083984,-5.412011719,-7.574902344,1.067073171,0.06097561,-1.219512195
58874,-3.275439453,-5.409619141,-7.601220703,0.792682927,0.304878049,-1.402439024
58875,-3.275439453,-5.459863281,-7.613183594,0.640243902,0.365853659,-1.280487805
58876,-3.251513672,-5.433544922,-7.620361328,0.762195122,0.335365854,-1.432926829
58877,-3.265869141,-5.459863281,-7.570117188,0.975609756,0.609756098,-1.31097561
58878,-3.25390625,-5.383300781,-7.584472656,1.036585366,0.640243902,-1.25
58879,-3.208447266,-5.390478516,-7.637109375,0.548780488,0.548780488,-1.128048781
58880,-3.349609375,-5.548388672,-7.665820313,0.365853659,1.432926829,-1.158536585
58881,-3.313720703,-5.450292969,-7.550976563,1.219512195,0.945121951,-1.463414634
58882,-3.186914063,-5.416796875,-7.608398438,1.097560976,0.091463415,-1.463414634
58883,-3.261083984,-5.440722656,-7.574902344,0.884146342,1.25,-0.975609756
58884,-3.280224609,-5.4359375,-7.589257813,0.609756098,0.853658537,-0.823170732
58885,-3.261083984,-5.421582031,-7.629931641,0.396341463,0.670731707,-0.762195122
58886,-3.256298828,-5.402441406,-7.608398438,0.396341463,1.128048781,-0.945121951
58887,-3.280224609,-5.395263672,-7.603613281,0.243902439,1.25,-0.701219512
58888,-3.232373047,-5.421582031,-7.687353516,0.182926829,1.158536585,-1.067073171
58889,-3.313720703,-5.349804688,-7.608398438,0.457317073,1.829268293,-1.432926829
58890,-3.268261719,-5.402441406,-7.661035156,0.091463415,0.975609756,-1.646341463
58891,-3.225195313,-5.412011719,-7.663427734,0.396341463,0.609756098,-1.554878049
58892,-3.229980469,-5.388085938,-7.670605469,0.792682927,1.006097561,-1.432926829
58893,-3.241943359,-5.385693359,-7.641894531,0.884146342,0.945121951,-1.432926829
58894,-3.244335938,-5.426367188,-7.658642578,0.975609756,0.853658537,-1.31097561
58895,-3.249121094,-5.414404297,-7.627539063,1.219512195,0.579268293,-1.463414634
58896,-3.258691406,-5.421582031,-7.627539063,1.31097561,0.426829268,-1.341463415
58897,-3.249121094,-5.412011719,-7.620361328,1.219512195,0.182926829,-1.31097561
58898,-3.261083984,-5.426367188,-7.596435547,1.097560976,0.182926829,-1.280487805
58899,-3.263476563,-5.421582031,-7.606005859,1.097560976,0.182926829,-1.341463415
58900,-3.273046875,-5.409619141,-7.61796875,0.914634146,0.396341463,-1.432926829
58901,-3.285009766,-5.4359375,-7.591650391,0.731707317,0.518292683,-1.31097561
58902,-3.25390625,-5.414404297,-7.61796875,0.792682927,0.487804878,-1.280487805
58903,-3.261083984,-5.419189453,-7.610791016,0.762195122,0.884146342,-1.280487805
58904,-3.287402344,-5.361767578,-7.598828125,0.640243902,0.914634146,-1.18902439
58905,-3.179736328,-5.335449219,-7.622753906,0.06097561,0.548780488,-1.219512195
58906,-3.33046875,-5.493359375,-7.696923828,-0.213414634,1.524390244,-1.554878049
58907,-3.328076172,-5.440722656,-7.637109375,0.884146342,1.341463415,-1.798780488
58908,-3.172558594,-5.414404297,-7.649072266,1.25,-0.12195122,-1.951219512
58909,-3.261083984,-5.407226563,-7.558154297,1.524390244,1.006097561,-1.25
58910,-3.289794922,-5.400048828,-7.582080078,1.341463415,0.487804878,-0.914634146
58911,-3.261083984,-5.409619141,-7.613183594,1.006097561,0.06097561,-0.945121951
58912,-3.301757813,-5.412011719,-7.634716797,0.823170732,0.457317073,-1.25
58913,-3.258691406,-5.366552734,-7.627539063,0.579268293,0.365853659,-1.646341463
58914,-3.232373047,-5.426367188,-7.670605469,0,0.426829268,-1.676829268
58915,-3.232373047,-5.426367188,-7.670605469,0,0.426829268,-1.676829268
58916,-3.258691406,-5.416796875,-7.622753906,0.396341463,1.036585366,-1.585365854
58917,-3.25390625,-5.400048828,-7.629931641,0.518292683,0.853658537,-1.341463415
58918,-3.261083984,-5.416796875,-7.637109375,0.640243902,0.579268293,-1.219512195
58919,-3.270654297,-5.392871094,-7.634716797,0.853658537,0.670731707,-1.219512195
58920,-3.251513672,-5.385693359,-7.634716797,0.884146342,0.609756098,-1.432926829
58921,-3.285009766,-5.412011719,-7.627539063,0.792682927,0.487804878,-1.615853659
58922,-3.261083984,-5.419189453,-7.634716797,0.914634146,0.243902439,-1.676829268
58923,-3.256298828,-5.414404297,-7.608398438,1.280487805,0.304878049,-1.432926829
58924,-3.265869141,-5.39765625,-7.620361328,1.31097561,0.274390244,-1.128048781
58925,-3.289794922,-5.419189453,-7.608398438,1.128048781,0.304878049,-1.036585366
58926,-3.304150391,-5.407226563,-7.584472656,1.006097561,0.243902439,-1.219512195
58927,-3.299365234,-5.416796875,-7.625146484,0.762195122,0.304878049,-1.432926829
58928,-3.273046875,-5.404833984,-7.601220703,0.670731707,0.426829268,-1.646341463
58929,-3.273046875,-5.416796875,-7.610791016,0.487804878,0.609756098,-1.615853659
58930,-3.263476563,-5.455078125,-7.608398438,0.701219512,0.914634146,-1.402439024
58931,-3.285009766,-5.407226563,-7.615576172,1.067073171,1.463414634,-1.463414634
58932,-3.306542969,-5.39765625,-7.582080078,1.006097561,1.615853659,-1.432926829
58933,-3.222802734,-5.328271484,-7.596435547,0.579268293,1.280487805,-1.402439024
58934,-3.273046875,-5.443115234,-7.675390625,-0.304878049,1.463414634,-1.951219512
58935,-3.340039063,-5.467041016,-7.65625,0.579268293,2.164634146,-2.073170732
58936,-3.206054688,-5.426367188,-7.663427734,1.006097561,0.792682927,-2.164634146
58937,-3.184521484,-5.423974609,-7.601220703,1.402439024,1.18902439,-1.463414634
58938,-3.287402344,-5.400048828,-7.589257813,1.585365854,1.524390244,-0.884146342
58939,-3.239550781,-5.388085938,-7.634716797,1.097560976,0.670731707,-0.914634146
58940,-3.268261719,-5.412011719,-7.620361328,0.701219512,0.853658537,-1.25
58941,-3.256298828,-5.373730469,-7.622753906,0.426829268,0.823170732,-1.798780488
58942,-3.189306641,-5.39765625,-7.65625,0.182926829,0.762195122,-1.890243902
58943,-3.201269531,-5.433544922,-7.665820313,0.182926829,1.158536585,-1.707317073
58944,-3.249121094,-5.390478516,-7.651464844,0.548780488,1.585365854,-1.463414634
58945,-3.215625,-5.419189453,-7.665820313,0.640243902,0.975609756,-1.402439024
58946,-3.246728516,-5.402441406,-7.639501953,0.853658537,1.036585366,-1.25
58947,-3.210839844,-5.376123047,-7.682568359,0.914634146,0.731707317,-1.524390244
